#size		liblinear	linear_div	decion_tre_inti	decion_tree_auto
0.0078125	73.86		73.31		73.27		73.37
0.015625	76.83		77.00		76.96		77.08
0.03125		78.36		79.28		79.50		79.41
0.0625		80.22		81.52		81.57		81.56
0.125		81.65		83.17		83.31		83.27
0.25		83.00		84.76		85.01		84.90
0.5		83.84		85.81		86.31		86.16
1		84.68		86.76		87.32		87.14
