#size		liblinear	linear_div	decion_tre_inti	decion_tree_auto
0.0078125	61.72		59.63		59.48		59.86
0.015625	65.67		63.88		65.48		65.65
0.03125		70.37		68.14		70.25		70.30
0.0625		74.02		72.30		72.14		71.55
0.125		76.44		75.97		75.87		76.34
0.25		78.65		78.57		78.50		77.67
0.5		80.35		80.99		80.97		80.28
1		81.53		82.28		82.18		82.06
