#size		liblinear	linear_div	decion_tre_inti	decion_tree_auto
0.0078125	63.56		63.66		63.64		62.52
0.015625	69.49		69.51		69.48		68.51
0.03125		73.12		72.55		73.02		72.91
0.0625		76.13		75.24		76.10		75.77
0.125		77.82		77.26		77.78		77.35
0.25		79.29		79.37		79.33		79.31
0.5		80.72		81.27		80.75		80.76
1		81.72		82.74		82.56		81.54
