#size		liblinear	linear_div	decion_tre_inti	decion_tree_auto
0.0078125	68.14		67.86		69.57		67.92
0.015625	70.56		71.57		72.72		71.13
0.03125		72.60		74.64		74.99		73.74
0.0625		73.85		76.51		76.75		75.79
0.125		74.89		77.93		78.48		76.70
0.25		76.10		79.27		80.18		78.53
0.5		77.24		80.37		81.45		79.90
1		78.46		81.63		82.98		81.16
