#size	lineardiv	linear	nonlineardiv	nonlinear
0.0078125	62.08		62.13	58.21		58.03
0.015625	65.98		65.93	63.33		63.53
0.03125	69.16		68.99	68.11		69.29
0.0625	72.82		71.94	71.71		73.23
0.125	75.85		74.64	74.93		76.31
0.25	78.27		76.63	78.09		79.30
0.5	79.87		78.79	80.66		81.38
1	81.87		80.22	82.56		83.56
